14QII26	SNORD114-26,SNORD114-26
DJ90G244	SLC5A4,SLC5A4
LA	SSB,SSB
BCLXLS	BCL2L1,BCL2L1
ZBTB20AS1	ZBTB20-AS1
HSAMIR1207	MIR1207,MIR1207
LH	PLOD1,PLOD1
LI	TGM1,TGM1
LW	ICAM4,ICAM4
LT	LTA,LTA
LU	BCAM,BCAM
LS	LIAS,LIAS
LP	SEPSECS,LPA,SLA
RPMS7	MRPS7,MRPS7,RPS7,MRPS7
LPAATALPHA	AGPAT1,AGPAT1
MIRN147	MIR147A,MIR147A
DEPDC7	DEPDC7
HEAG	KCNH1,KCNH1
COPR2	NRBF2,NRBF2,NRBF2
PEPCK	PCK2,PCK2
DEPDC4	DEPDC4
OR6B2P	OR6B2,OR6B2
SP4	SP4
HMBOA7	MBOAT7,MBOAT7
BPIFC	BPIFC
L6	RPL6,IGKV3-11,TM4SF1,MED10
L7	RPL7,NPB
L4	RPL4,FAM60A
L5	KNCN,KIAA0101,RPL5
HSP70HOM	HSPA1L,HSPA1L
L3	CERS2,RPL3,HEXIM2
L1	IGKV1-16,FAM49B
PHOX2A	PHOX2A
RN7SL734P	RN7SL734P
PHOX2B	PHOX2B
L8	IGKV1-9,NPW,RPL8,MSANTD3
L9	IGKV1-8,PDLIM5,RPL9
NTBA	SLAMF6
CFL	CFL1,CFL1
UPK2	UPK2
UPK3	UPK3A,UPK3A
CFH	CFH
CFI	CFI
CFF	HCFC1,HCFC1
CFD	CFD
CFB	CFB
CFC	PTPN11,TBCC
RNU28P	RNU2-8P
HMATXA	GTDC1,GTDC1
RPMS16	MRPS16,MRPS16,MRPS16
IGLV325	IGLV3-25
TCRBV24S1	TRBV24-1,TRBV24-1,TRBV24-1
PDP1679	DAZ3,DAZ3
PDP1678	DAZ2,DAZ2
CFP	CFP
AAAS	AAAS
UPIII	UPK3A,UPK3A
MIR5688	MIR5688
AAAT	SLC1A5,SLC1A7
GPR42P	GPR42,GPR42
OPA1	OPA1
SIDT1	SIDT1
SIDT2	SIDT2
LINC00035	LINC00035
TERA	VCP,FAM60A
RNU672	RNU6-72P,RNU6-72P
NRPS1098	AASDH,AASDH
PRGP3	PRRG3,PRRG3
ZAP113	YLPM1,YLPM1
CKIEPSILON	CSNK1E,CSNK1E
MDSRP	POGLUT1,POGLUT1
GCP16	GOLGA7,GOLGA7
WSMN	RAB39B,RAB39B
HIG1	TDRD9,HIGD1A
LIMAB1	ABLIM1,ABLIM1,ABLIM1
SAGE1	SAGE1
